App Name,APK,Accelerometer Usage (Y/N),Gyroscope Usage (Y/N),Magnetometer Usage (Y/N),Light Sensor Usage (Y/N),Proximity Sensor Usage (Y/N)

Cookie Jam™ Match 3 Games,air.com.sgn.cookiejam.gp.apk,Y,N,N,Y,N

"Vudu- Buy, Rent & Watch Movies",air.com.vudu.air.DownloaderTablet.apk,N,N,N,N,N

Fate/Grand Order (English),com.aniplex.fategrandorder.en.apk,Y,N,N,N,N

Audible: Audio Entertainment,com.audible.application.apk,N,N,N,N,N

Club Vegas Slots: Casino Games,com.bagelcode.slots1.apk,Y,N,N,Y,N

Quick Hit Casino Slot Games,com.ballytechnologies.quickhitslots.apk,Y,N,N,N,N

DRAGON BALL Z DOKKAN BATTLE,com.bandainamcogames.dbzdokkanww.apk,N,N,N,N,N

Clockmaker: Match 3 Games!,com.belkatechnologies.clockmaker.apk,Y,N,N,N,N

Project Makeover,com.bgg.jump.apk,Y,N,N,N,N

Jackpot Magic - Casino Slots,com.bigfishgames.jackpotcityslotsf2pgoogle.apk,N,N,N,N,N

Bleacher Report: Sports News,com.bleacherreport.android.teamstream.apk,N,N,N,N,N

STARZ,com.bydeluxe.d3.android.program.starz.apk,Y,Y,Y,N,N

"Calm - Sleep, Meditate, Relax",com.calm.android.apk,Y,Y,Y,N,N

Paramount+ | Peak Streaming,com.cbs.app.apk,N,N,N,N,N

Paramount+ | Peak Streaming,com.cbs.ott.apk,N,N,N,N,N

DoubleDown Casino Vegas Slots,com.ddi.apk,Y,Y,Y,N,N

Cookie Run: Kingdom,com.devsisters.ck.apk,N,N,N,N,N

Lotsa Slots - Casino Games,com.diamondlife.slots.vegas.free.apk,N,N,N,N,N

discovery+ | Stream TV Shows,com.discovery.discoveryplus.mobile.apk,N,N,N,N,N

Disney Emoji Blitz Game,com.disney.emojimatch_goo.apk,Y,N,N,N,N

Dropbox: Secure Cloud Storage,com.dropbox.android.apk,N,N,N,N,N

Free Fire,com.dts.freefireth.apk,Y,Y,Y,N,N

ESPN,com.espn.score_center.apk,N,N,N,N,N

Facebook,com.facebook.katana.apk,Y,N,N,N,N

Funimation,com.Funimation.FunimationNow.apk,N,N,N,N,N

Match Masters,com.funtomic.matchmasters.apk,Y,Y,Y,N,N

Puzzles & Survival,com.global.ztmslg.apk,Y,Y,Y,N,N

Google Drive,com.google.android.apps.docs.apk,N,N,N,N,N

Google One,com.google.android.apps.subscriptions.red.apk,N,N,N,N,N

Tiki Solitaire TriPeaks,com.gsn.android.tripeaks.apk,Y,Y,Y,N,N

HBO Max: Stream TV & Movies,com.hbo.hbonow.apk,N,N,N,N,N

Hulu: Stream shows & movies,com.hulu.plus.apk,Y,Y,Y,N,N

Huuuge Casino Slots Vegas 777,com.huuuge.casino.slots.apk,Y,N,N,N,N

Billionaire Casino Slots 777,com.huuuge.casino.texas.apk,Y,N,N,N,N

Rise of Empires: Ice and Fire,com.im30.ROE.gp.apk,N,N,N,N,N

Board Kings: Board Dice Games,com.jellybtn.boardkings.apk,Y,N,N,N,N

Jackpot Master™ Slots,com.jmsgame.jackpotmastercasino.apk,N,N,N,N,N

Marvel Contest of Champions,com.kabam.marvelbattle.apk,Y,N,N,N,N

Candy Crush Saga,com.king.candycrushsaga.apk,N,N,N,N,N

Candy Crush Soda Saga,com.king.candycrushsodasaga.apk,N,N,N,N,N

Farm Heroes Saga,com.king.farmheroessaga.apk,N,N,N,N,N

State of Survival: Zombie War,com.kingsgroup.sos.apk,Y,Y,Y,N,N

AFK Arena,com.lilithgame.hgame.gp.apk,N,N,N,N,N

Chapters: Interactive Stories,com.mars.avgchapters.apk,Y,Y,Y,N,N

Microsoft OneDrive,com.microsoft.skydrive.apk,N,N,N,N,N

Epic Heroes- Save Animals,com.mob.crowd.arena.wars.apk,Y,N,N,N,N

Coin Master,com.moonactive.coinmaster.apk,Y,Y,Y,N,N

Last Shelter: Survival,com.more.dayzsurvival.gp.apk,Y,Y,Y,N,N

WEBTOON,com.naver.linewebtoon.apk,N,N,N,N,N

The Seven Deadly Sins,com.netmarble.nanagb.apk,Y,N,N,N,N

Hero Wars – Fantasy Battles,com.nexters.herowars.apk,Y,N,N,N,N

Pokémon GO,com.nianticlabs.pokemongo.apk,Y,N,N,N,N

Fire Emblem Heroes,com.nintendo.zaba.apk,N,N,N,N,N

King's Choice,com.onemt.and.kc.apk,Y,N,N,N,N

Pandora - Music & Podcasts,com.pandora.android.apk,N,N,N,N,N

Mighty Party,com.panoramik.mightyparty.apk,Y,N,N,N,N

Peacock TV: Stream TV & Movies,com.peacocktv.peacockandroid.apk,N,N,N,N,N

